speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_hand_torque,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork,command_hand
0,0.00,0.00020,-0.00010,-0.00,-0.02,-0.01,-0.00,-0.00010,-0.00,-0.00082,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00021,-0.00011,0.00,-0.02,-0.01,-0.00,-0.00011,-0.00,0.00145,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00021,-0.00009,0.00,-0.01,-0.01,-0.00,-0.00009,-0.00,0.00016,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00022,-0.00009,0.00,-0.01,-0.02,-0.00,-0.00009,-0.00,0.00075,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00022,-0.00008,-0.00,-0.02,-0.02,-0.00,-0.00008,-0.00,-0.00118,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00023,-0.00009,0.00,-0.02,-0.02,-0.00,-0.00009,-0.00,0.00067,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00023,-0.00009,-0.00,-0.02,-0.01,-0.00,-0.00009,-0.00,-0.00043,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,815,,16384,16384,0.00,0.00
0,0.00,0.00024,-0.00009,-0.00,-0.01,-0.01,-0.00,-0.00009,-0.00,-0.00059,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,814,,16384,16384,0.00,0.00
0,0.00,0.00024,-0.00010,0.00,-0.02,-0.02,-0.00,-0.00010,-0.00,0.00074,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,814,,16384,16384,0.00,0.00
0,0.00,0.00025,-0.00009,-0.00,-0.02,-0.01,-0.00,-0.00009,-0.00,-0.00157,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00025,-0.00011,-0.00,-0.02,-0.02,-0.00,-0.00011,-0.00,-0.00126,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00026,-0.00012,0.00,-0.02,-0.01,-0.00,-0.00012,-0.00,0.00161,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,815,,16384,16384,0.00,0.00
0,0.00,0.00026,-0.00010,-0.00,-0.01,-0.02,-0.00,-0.00010,-0.00,-0.00254,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
